OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;COORDS;LNG;LAT;
183;"Metro";"50 | 54";"50|54";5;"POINT(4.94719,52.31213)";"4,94719";"52,31213";
184;"Metro";"50 | 54";"50|54";5;"POINT(4.952101,52.306798)";"4,952101";"52,306798";
185;"Metro";"50 | 54";"50|54";5;"POINT(4.959979,52.29818)";"4,959979";"52,29818";
186;"Metro";"50 | 54";"50|54";5;"POINT(4.936486,52.323605)";"4,936486";"52,323605";
187;"Metro";"5 | 24 | 51";"05|24|51";5;"POINT(4.868319,52.334818)";"4,868319";"52,334818";
188;"Metro";"51";"51";5;"POINT(4.864061,52.290738)";"4,864061";"52,290738";
189;"Metro";"5 | 51";"05|51";5;"POINT(4.868965,52.325403)";"4,868965";"52,325403";
190;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.920965,52.34004)";"4,920965";"52,34004";
191;"Metro";"1 | 2 | 4 | 5 | 9 | 13 | 17 | 24 | 26 | 51 | 53 | 54";"01|02|04|05|09|13|17|24|26|51|53|54";5;"POINT(4.899752,52.378048)";"4,899752";"52,378048";
192;"Metro";"9 | 14 | 51 | 53 | 54";"09|14|51|53|54";5;"POINT(4.9024,52.367347)";"4,9024";"52,367347";
193;"Metro";"7 | 10 | 51 | 53 | 54";"07|10|51|53|54";5;"POINT(4.907977,52.361171)";"4,907977";"52,361171";
194;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.912122,52.354331)";"4,912122";"52,354331";
195;"Tram";"24";"24";3;"POINT(4.858523,52.34527)";"4,858523";"52,34527";
196;"Tram";"24";"24";3;"POINT(4.866256,52.346338)";"4,866256";"52,346338";
197;"Tram";"5 | 24";"05|24";3;"POINT(4.877275,52.349097)";"4,877275";"52,349097";
198;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.9013,52.371918)";"4,9013";"52,371918";
199;"Metro";"12 | 51 | 53 | 54";"12|51|53|54";5;"POINT(4.918296,52.346661)";"4,918296";"52,346661";
200;"Metro";"50 | 53 | 54";"50|53|54";5;"POINT(4.930299,52.329676)";"4,930299";"52,329676";
201;"Metro";"53";"53";5;"POINT(4.966758,52.328622)";"4,966758";"52,328622";
202;"Metro";"53";"53";5;"POINT(4.973043,52.323629)";"4,973043";"52,323629";
203;"Metro";"53";"53";5;"POINT(4.979453,52.316616)";"4,979453";"52,316616";
204;"Metro";"53";"53";5;"POINT(4.984548,52.311033)";"4,984548";"52,311033";
205;"Metro";"53";"53";5;"POINT(4.946228,52.326735)";"4,946228";"52,326735";
206;"Tram";"7 | 17";"07|17";3;"POINT(4.859675,52.364723)";"4,859675";"52,364723";
207;"Tram";"7";"07";3;"POINT(4.852481,52.367172)";"4,852481";"52,367172";
208;"Tram";"12 | 13 | 14";"12|13|14";3;"POINT(4.859966,52.371497)";"4,859966";"52,371497";
209;"Metro";"51";"51";5;"POINT(4.857163,52.281039)";"4,857163";"52,281039";
210;"Tram";"7 | 17";"07|17";3;"POINT(4.8627,52.364809)";"4,8627";"52,364809";
211;"Metro";"51";"51";5;"POINT(4.861373,52.28697)";"4,861373";"52,28697";
212;"Metro";"51";"51";5;"POINT(4.859277,52.284451)";"4,859277";"52,284451";
213;"Metro";"51";"51";5;"POINT(4.851706,52.280566)";"4,851706";"52,280566";
214;"Tram";"5 | 50 | 51";"05|50|51";3;"POINT(4.873143,52.340163)";"4,873143";"52,340163";
